,Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek,UserName,DB
156,2016-12-03,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkshayaAdabar,DB09 
157,2016-03-13,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday,AkshayaAdabar,DB09 
158,2016-03-14,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkshayaAdabar,DB09 
159,2016-03-15,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkshayaAdabar,DB09 
160,2016-03-16,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
161,2016-03-17,13,533,0.15000000000000002,0.05,0.0,18 to 19,0.006250000000000001,0.010555237727226276,Thursday,AkshayaAdabar,DB09 
162,2016-03-18,13,533,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Friday,AkshayaAdabar,DB09 
163,2016-03-19,17,533,0.07,0.01,0.0,02 to 03,0.0029166666666666672,0.0046430562148753645,Saturday,AkshayaAdabar,DB09 
164,2016-03-20,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday,AkshayaAdabar,DB09 
165,2016-03-21,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkshayaAdabar,DB09 
166,2016-03-22,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkshayaAdabar,DB09 
167,2016-03-23,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
168,2016-03-24,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkshayaAdabar,DB09 
169,2016-03-25,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday,AkshayaAdabar,DB09 
170,2016-03-26,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkshayaAdabar,DB09 
171,2016-03-27,14,533,0.1,0.01,0.0,00 to 01,0.004166666666666668,0.00503610155185335,Sunday,AkshayaAdabar,DB09 
172,2016-03-28,20,533,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Monday,AkshayaAdabar,DB09 
173,2016-03-29,18,533,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Tuesday,AkshayaAdabar,DB09 
174,2016-03-30,19,533,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Wednesday,AkshayaAdabar,DB09 
175,2016-03-31,15,533,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Thursday,AkshayaAdabar,DB09 
176,2016-01-04,13,533,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Monday,AkshayaAdabar,DB09 
177,2016-02-04,16,533,0.08,0.01,0.0,00 to 01,0.0033333333333333327,0.004815434123430768,Thursday,AkshayaAdabar,DB09 
178,2016-03-04,19,533,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday,AkshayaAdabar,DB09 
179,2016-04-04,19,533,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Monday,AkshayaAdabar,DB09 
180,2016-05-04,17,533,0.07,0.01,0.0,00 to 01,0.0029166666666666672,0.0046430562148753645,Wednesday,AkshayaAdabar,DB09 
181,2016-06-04,18,533,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Saturday,AkshayaAdabar,DB09 
182,2016-07-04,16,533,0.08,0.01,0.0,02 to 03,0.0033333333333333327,0.004815434123430768,Monday,AkshayaAdabar,DB09 
183,2016-08-04,17,533,0.07,0.01,0.0,02 to 03,0.0029166666666666672,0.0046430562148753645,Thursday,AkshayaAdabar,DB09 
184,2016-09-04,18,533,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Sunday,AkshayaAdabar,DB09 
185,2016-10-04,20,533,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.003806934938134405,Tuesday,AkshayaAdabar,DB09 
186,2016-11-04,22,533,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Friday,AkshayaAdabar,DB09 
187,2016-12-04,18,533,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Sunday,AkshayaAdabar,DB09 
188,2016-04-13,14,533,0.1,0.01,0.0,00 to 01,0.004166666666666668,0.00503610155185335,Wednesday,AkshayaAdabar,DB09 
189,2016-04-14,21,533,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Thursday,AkshayaAdabar,DB09 
190,2016-04-16,21,533,0.03,0.01,0.0,19 to 20,0.00125,0.003378319623460881,Saturday,AkshayaAdabar,DB09 
191,2016-04-17,19,533,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Sunday,AkshayaAdabar,DB09 
192,2016-04-18,20,533,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.003806934938134405,Monday,AkshayaAdabar,DB09 
193,2016-04-19,17,533,0.07,0.01,0.0,02 to 03,0.0029166666666666672,0.0046430562148753645,Tuesday,AkshayaAdabar,DB09 
194,2016-04-25,23,533,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.002041241452319316,Monday,AkshayaAdabar,DB09 
195,2016-04-26,21,533,0.03,0.01,0.0,19 to 20,0.00125,0.003378319623460881,Tuesday,AkshayaAdabar,DB09 
196,2016-04-27,21,533,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Wednesday,AkshayaAdabar,DB09 
197,2016-04-28,22,533,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128664,Thursday,AkshayaAdabar,DB09 
198,2016-04-29,21,533,0.03,0.01,0.0,19 to 20,0.00125,0.003378319623460881,Friday,AkshayaAdabar,DB09 
199,2016-04-30,16,533,0.08,0.01,0.0,01 to 02,0.0033333333333333327,0.004815434123430768,Saturday,AkshayaAdabar,DB09 
